juldat,isd_flux_solo_low
2459088.5,10.937805658540773
2459089.5,10.999268298232137
2459090.5,11.059564699478566
2459091.5,11.118722122247751
2459092.5,11.176766933995005
2459093.5,11.233724868460355
2459094.5,11.289620864838486
2459095.5,11.344479019788288
2459096.5,11.398322682682252
2459097.5,11.45117445453975
2459098.5,11.50305626440838
2459099.5,11.553989134832783
2459100.5,11.603993570213472
2459101.5,11.653089323048013
2459102.5,11.701295548389778
2459103.5,11.748630783018898
2459104.5,11.795112338822431
2459105.5,11.840757635838374
2459106.5,11.885583203971647
2459107.5,11.929604942351832
2459108.5,11.972838270500358
2459109.5,12.015297930872528
2459110.5,12.056998144276637
2459111.5,12.097952586852246
2459112.5,12.138174442340866
2459113.5,12.177676256933275
2459114.5,12.216470222783823
2459115.5,12.25456788965816
2459116.5,12.29198042710221
